product_id;manufacturer;product_number;name;price;price_special;category;product_url;description;image_url;image_url_2;image_url_3;image_url_4;image_url_5;delivery_time;garancia;stock;ean;length;width;height;weight;Column1
85;Votana;5904125499341;HC8056N Scaun Negru;293,28;;Szék;https://hroveform.ro/product-rum-85-HC8056N-Scaun-Negru.html;"<p><span style=""font-size: 120%; line-height: 150%;""> Fotoliul subtil ?i elegant, dar în acela?i timp modern, va completa perfect fiecare spa?iu, conferindu-i rafinament ?i caracter. Scaunul este executat din piele ecologică. Este perfect pentru frizerii, saloane de înfrumuse?are, precum ?i pentru birouri elegante. ?ezuturile sunt complet rotative, cu înălţime reglabilă. <br /><br /> - ajustarea înăl?imii pe piston pneumatic<br /> - ?ezut pivotant (360 de grade)<br /> - ?ezut tapi?at cu piele artificială<br /> - înveli?ul de cauciuc de pe bază previne zgârierea podelei<br /> - fotoliile sunt noi<br /> - lă?imea ?ezutului este de - 60 cm<br /> - înăl?imea spătarului - 33 cm<br /> - înăl?imea min. a ?ezutului - 40 cm<br /> - înăl?imea max. a ?ezutului - 55 cm </span></p>";https://hroveform.ro/data/gfx/pictures/large/5/8/85_1.jpg;https://hroveform.ro/data/gfx/pictures/large/5/8/85_2.jpg;https://hroveform.ro/data/gfx/pictures/large/5/8/85_3.jpg;;;6;12;20;5904125499341;45 cm;60 cm;85 cm;10 kg;
96;Votana;5904125499433;HC949N Scaun Alb;335,29;;Szék;https://hroveform.ro/product-rum-96-HC949N-Scaun-Alb.html;"<p><span style=""font-size: 120%; line-height: 150%;"">Este tapi?at cu piele ecologică si finisat cu diamante stilate. Fotoliu de frizerie de cea mai bună calitate, care ar trebui inclus în fiecare salon de coafură. Scaunele confortabile ?i baza stabilă oferă un confort ridicat în timpul utilizării. Scaunele sunt disponibile în diferite culori, ceea ce ne oferă posibilitatea de a ajusta mobilierul la stilul interiorului. U?or de cură?at datorită tapi?ării cu piele ecologică. ?ezuturile sunt complet rotative, cu înălţime reglabilă. <br /><br /> - ajustarea înăl?imii pe piston pneumatic<br /> - ?ezut pivotant (360 de grade)<br /> - ?ezut tapi?at cu piele artificială<br /> - înveli?ul de cauciuc de pe bază previne zgârierea podelei<br /> - fotoliile sunt noi<br /> - lă?imea ?ezutului este de - 47 cm<br /> - înăl?imea spătarului - 26 cm<br /> - înăl?imea min. a ?ezutului - 40 cm<br /> - înăl?imea max. a ?ezutului - 55 cm </span></p>";https://hroveform.ro/data/gfx/pictures/large/6/9/96_1.jpg;https://hroveform.ro/data/gfx/pictures/large/6/9/96_2.jpg;https://hroveform.ro/data/gfx/pictures/large/6/9/96_3.jpg;;;6;12;20;5904125499433;40 cm;47 cm;64 cm;10 kg;
97;Votana;5904125499440;HC949N Scaun Negru;335,29;;Szék;https://hroveform.ro/product-rum-97-HC949N-Scaun-Negru.html;"<p><span style=""font-size: 120%; line-height: 150%;"">Este tapi?at cu piele ecologică si finisat cu diamante stilate. Fotoliu de frizerie de cea mai bună calitate, care ar trebui inclus în fiecare salon de coafură. Scaunele confortabile ?i baza stabilă oferă un confort ridicat în timpul utilizării. Scaunele sunt disponibile în diferite culori, ceea ce ne oferă posibilitatea de a ajusta mobilierul la stilul interiorului. U?or de cură?at datorită tapi?ării cu piele ecologică. ?ezuturile sunt complet rotative, cu înălţime reglabilă. <br /><br /> - ajustarea înăl?imii pe piston pneumatic<br /> - ?ezut pivotant (360 de grade)<br /> - ?ezut tapi?at cu piele artificială<br /> - înveli?ul de cauciuc de pe bază previne zgârierea podelei<br /> - fotoliile sunt noi<br /> - lă?imea ?ezutului este de - 47 cm<br /> - înăl?imea spătarului - 26 cm<br /> - înăl?imea min. a ?ezutului - 40 cm<br /> - înăl?imea max. a ?ezutului - 55 cm </span></p>";https://hroveform.ro/data/gfx/pictures/large/7/9/97_1.jpg;https://hroveform.ro/data/gfx/pictures/large/7/9/97_2.jpg;;;;6;12;20;5904125499440;40 cm;47 cm;64 cm;10 kg;
199;Votana;5904125499211;HC931N Scaun Negru;251,26;;Szék;https://hroveform.ro/product-rum-199-HC931N-Scaun-Negru.html;"<p><span style=""font-size: 120%; line-height: 150%;"">Este tapi?at cu piele ecologică si finisat cu diamante stilate. Fotoliu de frizerie de cea mai bună calitate, care ar trebui inclus în fiecare salon de coafură. Scaunele confortabile ?i baza stabilă oferă un confort ridicat în timpul utilizării. Fotoliile sunt disponibile în diferite culori, ceea ce ne oferă posibilitatea de a ajusta mobilierul la stilul interiorului. U?or de cură?at datorită tapi?ării cu piele ecologică. ?ezuturile sunt complet rotative, cu înălţime reglabilă. <br /><br /> - ajustarea înăl?imii pe piston pneumatic<br /> - ?ezut pivotant (360 de grade)<br /> - ?ezut tapi?at cu piele artificială<br /> - înveli?ul de cauciuc de pe bază previne zgârierea podelei<br /> - fotoliile sunt noi<br /> - lă?imea ?ezutului este de - 45 cm<br /> - înăl?imea spătarului - 27 cm<br /> - înăl?imea min. a ?ezutului - 40 cm<br /> - înăl?imea max. a ?ezutului - 55 cm </span></p>";https://hroveform.ro/data/gfx/pictures/large/9/9/199_1.jpg;https://hroveform.ro/data/gfx/pictures/large/9/9/199_2.jpg;https://hroveform.ro/data/gfx/pictures/large/9/9/199_3.jpg;;;6;12;20;5904125499211;40 cm;47 cm;66 cm;10 kg;
200;Votana;5904125499228;HC931N Scaun Gri;251,26;;Szék;https://hroveform.ro/product-rum-200-HC931N-Scaun-Gri.html;"<p><span style=""font-size: 120%; line-height: 150%;"">Este tapi?at cu piele ecologică si finisat cu diamante stilate. Fotoliu de frizerie de cea mai bună calitate, care ar trebui inclus în fiecare salon de coafură. Scaunele confortabile ?i baza stabilă oferă un confort ridicat în timpul utilizării. Fotoliile sunt disponibile în diferite culori, ceea ce ne oferă posibilitatea de a ajusta mobilierul la stilul interiorului. U?or de cură?at datorită tapi?ării cu piele ecologică. ?ezuturile sunt complet rotative, cu înălţime reglabilă. <br /><br /> - ajustarea înăl?imii pe piston pneumatic<br /> - ?ezut pivotant (360 de grade)<br /> - ?ezut tapi?at cu piele artificială<br /> - înveli?ul de cauciuc de pe bază previne zgârierea podelei<br /> - fotoliile sunt noi<br /> - lă?imea ?ezutului este de - 45 cm<br /> - înăl?imea spătarului - 27 cm<br /> - înăl?imea min. a ?ezutului - 40 cm<br /> - înăl?imea max. a ?ezutului - 55 cm </span></p>";https://hroveform.ro/data/gfx/pictures/large/0/0/200_1.jpg;https://hroveform.ro/data/gfx/pictures/large/0/0/200_2.jpg;https://hroveform.ro/data/gfx/pictures/large/0/0/200_3.jpg;;;6;12;20;5904125499228;40 cm;47 cm;66 cm;10 kg;
201;Votana;5904125499235;HC931N Scaun Alb;251,26;;Szék;https://hroveform.ro/product-rum-201-HC931N-Scaun-Alb.html;"<p><span style=""font-size: 120%; line-height: 150%;"">Este tapi?at cu piele ecologică si finisat cu diamante stilate. Fotoliu de frizerie de cea mai bună calitate, care ar trebui inclus în fiecare salon de coafură. Scaunele confortabile ?i baza stabilă oferă un confort ridicat în timpul utilizării. Fotoliile sunt disponibile în diferite culori, ceea ce ne oferă posibilitatea de a ajusta mobilierul la stilul interiorului. U?or de cură?at datorită tapi?ării cu piele ecologică. ?ezuturile sunt complet rotative, cu înălţime reglabilă. <br /><br /> - ajustarea înăl?imii pe piston pneumatic<br /> - ?ezut pivotant (360 de grade)<br /> - ?ezut tapi?at cu piele artificială<br /> - înveli?ul de cauciuc de pe bază previne zgârierea podelei<br /> - fotoliile sunt noi<br /> - lă?imea ?ezutului este de - 45 cm<br /> - înăl?imea spătarului - 27 cm<br /> - înăl?imea min. a ?ezutului - 40 cm<br /> - înăl?imea max. a ?ezutului - 55 cm </span></p>";https://hroveform.ro/data/gfx/pictures/large/1/0/201_1.jpg;https://hroveform.ro/data/gfx/pictures/large/1/0/201_2.jpg;https://hroveform.ro/data/gfx/pictures/large/1/0/201_3.jpg;;;6;12;20;5904125499235;40 cm;47 cm;66 cm;10 kg;
204;Votana;5904125499457;HC949N Scaun Roz;335,29;;Szék;https://hroveform.ro/product-rum-204-HC949N-Scaun-Roz.html;"<p><span style=""font-size: 120%; line-height: 150%;"">Este tapi?at cu piele ecologică si finisat cu diamante stilate. Fotoliu de frizerie de cea mai bună calitate, care ar trebui inclus în fiecare salon de coafură. Scaunele confortabile ?i baza stabilă oferă un confort ridicat în timpul utilizării. Scaunele sunt disponibile în diferite culori, ceea ce ne oferă posibilitatea de a ajusta mobilierul la stilul interiorului. U?or de cură?at datorită tapi?ării cu piele ecologică. ?ezuturile sunt complet rotative, cu înălţime reglabilă. <br /><br /> - ajustarea înăl?imii pe piston pneumatic<br /> - ?ezut pivotant (360 de grade)<br /> - ?ezut tapi?at cu piele artificială<br /> - înveli?ul de cauciuc de pe bază previne zgârierea podelei<br /> - fotoliile sunt noi<br /> - lă?imea ?ezutului este de - 47 cm<br /> - înăl?imea spătarului - 26 cm<br /> - înăl?imea min. a ?ezutului - 40 cm<br /> - înăl?imea max. a ?ezutului - 55 cm </span></p>";https://hroveform.ro/data/gfx/pictures/large/4/0/204_1.jpg;https://hroveform.ro/data/gfx/pictures/large/4/0/204_2.jpg;https://hroveform.ro/data/gfx/pictures/large/4/0/204_3.jpg;;;6;12;20;5904125499457;40 cm;47 cm;64 cm;10 kg;
205;Votana;5904125499464;HC949N Scaun Gri;335,29;;Szék;https://hroveform.ro/product-rum-205-HC949N-Scaun-Gri.html;"<p><span style=""font-size: 120%; line-height: 150%;"">Este tapi?at cu piele ecologică si finisat cu diamante stilate. Fotoliu de frizerie de cea mai bună calitate, care ar trebui inclus în fiecare salon de coafură. Scaunele confortabile ?i baza stabilă oferă un confort ridicat în timpul utilizării. Scaunele sunt disponibile în diferite culori, ceea ce ne oferă posibilitatea de a ajusta mobilierul la stilul interiorului. U?or de cură?at datorită tapi?ării cu piele ecologică. ?ezuturile sunt complet rotative, cu înălţime reglabilă. <br /><br /> - ajustarea înăl?imii pe piston pneumatic<br /> - ?ezut pivotant (360 de grade)<br /> - ?ezut tapi?at cu piele artificială<br /> - înveli?ul de cauciuc de pe bază previne zgârierea podelei<br /> - fotoliile sunt noi<br /> - lă?imea ?ezutului este de - 47 cm<br /> - înăl?imea spătarului - 26 cm<br /> - înăl?imea min. a ?ezutului - 40 cm<br /> - înăl?imea max. a ?ezutului - 55 cm </span></p>";https://hroveform.ro/data/gfx/pictures/large/5/0/205_1.jpg;https://hroveform.ro/data/gfx/pictures/large/5/0/205_2.jpg;https://hroveform.ro/data/gfx/pictures/large/5/0/205_3.jpg;;;6;12;20;5904125499464;40 cm;47 cm;64 cm;10 kg;
222;Votana;5904125499242;HC931N Scaun Roz;251,26;;Szék;https://hroveform.ro/product-rum-222-HC931N-Scaun-Roz.html;"<p><span style=""font-size: 120%; line-height: 150%;"">Este tapi?at cu piele ecologică si finisat cu diamante stilate. Fotoliu de frizerie de cea mai bună calitate, care ar trebui inclus în fiecare salon de coafură. Scaunele confortabile ?i baza stabilă oferă un confort ridicat în timpul utilizării. Fotoliile sunt disponibile în diferite culori, ceea ce ne oferă posibilitatea de a ajusta mobilierul la stilul interiorului. U?or de cură?at datorită tapi?ării cu piele ecologică. ?ezuturile sunt complet rotative, cu înălţime reglabilă. <br /><br /> - ajustarea înăl?imii pe piston pneumatic<br /> - ?ezut pivotant (360 de grade)<br /> - ?ezut tapi?at cu piele artificială<br /> - înveli?ul de cauciuc de pe bază previne zgârierea podelei<br /> - fotoliile sunt noi<br /> - lă?imea ?ezutului este de - 45 cm<br /> - înăl?imea spătarului - 27 cm<br /> - înăl?imea min. a ?ezutului - 40 cm<br /> - înăl?imea max. a ?ezutului - 55 cm </span></p>";https://hroveform.ro/data/gfx/pictures/large/2/2/222_1.jpg;https://hroveform.ro/data/gfx/pictures/large/2/2/222_2.jpg;https://hroveform.ro/data/gfx/pictures/large/2/2/222_3.jpg;https://hroveform.ro/data/gfx/pictures/large/2/2/222_4.jpg;;6;12;20;5904125499242;40 cm;47 cm;66 cm;10 kg;
319;Votana;5904125497934;HC1015NP Scaun Negru;234,45;;Szék;https://hroveform.ro/product-rum-319-HC1015NP-Scaun-Negru.html;"<p><span style=""font-size: 120%; line-height: 150%;""> Fotoliul subtil ?i elegant, dar în acela?i timp modern, va completa perfect fiecare spa?iu, conferindu-i rafinament ?i caracter. Scaunul este executat din piele ecologică. Este perfect pentru frizerii, saloane de înfrumuse?are, precum ?i pentru birouri elegante. ?ezuturile sunt complet rotative, cu înălţime reglabilă. Ro?ile ajută la mutarea cu u?urin?ă a fotoliului. <br /><br /> - ajustarea înăl?imii pe piston pneumatic<br /> - ?ezut pivotant (360 de grade)<br /> - ?ezut tapi?at cu piele artificială<br /> - fotoliile sunt noi<br /> - lă?imea ?ezutului este de - 41 cm<br /> - înăl?imea spătarului - 40 cm<br /> - înăl?imea min. a ?ezutului - 40 cm<br /> - înăl?imea max. a ?ezutului - 55 cm </span></p>";https://hroveform.ro/data/gfx/pictures/large/9/1/319_1.jpg;;;;;6;12;20;5904125497934;40 cm;64 cm;80 cm;10 kg;
